Timestamp,"By pressing ""I consent"" and submitting the questionnaire, you are indicating that you have given consent to participate in our research. No personal data is saved nor used. ",Question 1 [Which image do you like best?],Question 1 [Which image do you like second best?],Question 1 [Which image do you like third best],Question 1 [Which image do you like least],Question 2 [Which image do you like best?],Question 2 [Which image do you like second best?],Question 2 [Which image do you like third best],Question 2 [Which image do you like least],Question 3 [Which image do you like best?],Question 3 [Which image do you like second best?],Question 3 [Which image do you like third best],Question 3 [Which image do you like least],Question 4 [Which image do you like best?],Question 4 [Which image do you like second best?],Question 4 [Which image do you like third best],Question 4 [Which image do you like least],Question 5 [Which image do you like best?],Question 5 [Which image do you like second best?],Question 5 [Which image do you like third best],Question 5 [Which image do you like least],Question 6 [Which image do you like best?],Question 6 [Which image do you like second best?],Question 6 [Which image do you like third best],Question 6 [Which image do you like least],Question 7 [Which image do you like best?],Question 7 [Which image do you like second best?],Question 7 [Which image do you like third best],Question 7 [Which image do you like least],Question 8 [Which image do you like best?],Question 8 [Which image do you like second best?],Question 8 [Which image do you like third best],Question 8 [Which image do you like least],Question 9 [Which image do you like best?],Question 9 [Which image do you like second best?],Question 9 [Which image do you like third best],Question 9 [Which image do you like least],Question 10 [Which image do you like best?],Question 10 [Which image do you like second best?],Question 10 [Which image do you like third best],Question 10 [Which image do you like least],Question 11 [Which image do you like best?],Question 11 [Which image do you like second best?],Question 11 [Which image do you like third best],Question 11 [Which image do you like least],Question 12 [Which image do you like best?],Question 12 [Which image do you like second best?],Question 12 [Which image do you like third best],Question 12 [Which image do you like least],Question 13 [Which image do you like best?],Question 13 [Which image do you like second best?],Question 13 [Which image do you like third best],Question 13 [Which image do you like least],Question 14 [Which image do you like best?],Question 14 [Which image do you like second best?],Question 14 [Which image do you like third best],Question 14 [Which image do you like least],Question 15 [Which image do you like best?],Question 15 [Which image do you like second best?],Question 15 [Which image do you like third best],Question 15 [Which image do you like least],Question 16 [Which image do you like best?],Question 16 [Which image do you like second best?],Question 16 [Which image do you like third best],Question 16 [Which image do you like least],Do you have any comments about which features in the images you find appealing?
09/06/2023 18:10:40,I consent,Image 1,Image 4,Image 2,Image 3,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 1,Image 2,Image 4,Image 2,Image 3,Image 1,Image 1,Image 4,Image 2,Image 3,Image 2,Image 4,Image 3,Image 1,Image 3,Image 4,Image 2,Image 1,Image 3,Image 2,Image 4,Image 1,Image 2,Image 1,Image 4,Image 3,Image 2,Image 1,Image 3,Image 4,Image 3,Image 1,Image 2,Image 4,Image 3,Image 1,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 2,Image 3,Image 1,Image 4,Image 2,Image 4,Image 3,Image 1,Image 4,Image 2,Image 3,Image 1,
09/06/2023 18:15:46,I consent,Image 4,Image 2,Image 1,Image 3,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 4,Image 3,Image 2,Image 4,Image 1,Image 3,Image 2,Image 3,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 2,Image 1,Image 3,Image 4,Image 1,Image 3,Image 2,Image 4,Image 4,Image 2,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 1,Image 3,Image 4,Image 2,Image 1,Image 4,Image 2,Image 3,Image 3,Image 2,Image 4,Image 1,Image 2,Image 4,Image 1,Image 3,Image 2,Image 1,Image 3,Image 4,No.
09/06/2023 18:16:45,I consent,Image 3,Image 1,Image 2,Image 4,Image 2,Image 3,Image 4,Image 1,Image 1,Image 3,Image 4,Image 2,Image 2,Image 1,Image 3,Image 4,Image 4,Image 3,Image 1,Image 2,Image 2,Image 1,Image 4,Image 3,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 2,Image 1,Image 4,Image 3,Image 4,Image 1,Image 3,Image 2,Image 2,Image 4,Image 1,Image 3,Image 3,Image 2,Image 1,Image 4,Image 4,Image 3,Image 1,Image 2,Image 1,Image 2,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 4,Image 1,
09/06/2023 18:19:21,I consent,Image 2,Image 4,Image 3,Image 1,Image 4,Image 3,Image 2,Image 1,Image 1,Image 3,Image 4,Image 2,Image 4,Image 1,Image 3,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 2,Image 4,Image 1,Image 1,Image 2,Image 4,Image 3,Image 4,Image 1,Image 3,Image 2,Image 2,Image 4,Image 1,Image 3,Image 1,Image 3,Image 2,Image 4,Image 4,Image 1,Image 3,Image 2,Image 3,Image 1,Image 2,Image 4,Image 3,Image 4,Image 1,Image 2,Image 1,Image 3,Image 2,Image 4,
09/06/2023 18:26:37,I consent,Image 1,Image 3,Image 4,Image 2,Image 2,Image 1,Image 4,Image 3,Image 3,Image 1,Image 4,Image 2,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 1,Image 4,Image 2,Image 1,Image 4,Image 3,Image 4,Image 2,Image 1,Image 3,Image 2,Image 3,Image 1,Image 4,Image 1,Image 2,Image 3,Image 4,Image 4,Image 1,Image 2,Image 3,Image 4,Image 3,Image 2,Image 1,Image 3,Image 2,Image 1,Image 4,Image 4,Image 1,Image 3,Image 2,Image 2,Image 1,Image 3,Image 4,Image 1,Image 4,Image 3,Image 2,Image 4,Image 1,Image 3,Image 2,Popping colours. Detail. Visual clarity (lack of blur)
09/06/2023 18:27:41,I consent,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 2,Image 1,Image 3,Image 1,Image 4,Image 2,Image 4,Image 1,Image 3,Image 2,Image 2,Image 1,Image 4,Image 3,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 3,Image 2,Image 1,Image 4,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 1,Image 4,Image 4,Image 3,Image 1,Image 2,Image 4,Image 2,Image 3,Image 1,Image 1,Image 3,Image 4,Image 2,Image 2,Image 1,Image 3,Image 4,Image 4,Image 3,Image 2,Image 1,Image 4,Image 3,Image 2,Image 1,
09/06/2023 18:43:56,I consent,Image 1,Image 3,Image 2,Image 4,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 4,Image 3,Image 3,Image 1,Image 2,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 4,Image 3,Image 2,Image 3,Image 2,Image 4,Image 1,Image 1,Image 4,Image 2,Image 3,Image 3,Image 1,Image 2,Image 4,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 1,Image 3,Image 4,Image 2,Image 1,Image 4,Image 2,Image 3,Image 3,Image 4,Image 2,Image 1,Image 4,Image 1,Image 2,Image 3,
09/06/2023 18:45:21,I consent,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 3,Image 1,Image 3,Image 1,Image 4,Image 2,Image 1,Image 2,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 1,Image 3,Image 2,Image 4,Image 4,Image 2,Image 3,Image 1,Image 2,Image 4,Image 1,Image 3,Image 2,Image 1,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 1,Image 4,Image 4,Image 1,Image 3,Image 2,Image 1,Image 2,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,Image 4,Image 3,Image 2,Image 1,"Light, not blurry images"
09/06/2023 18:56:29,I consent,Image 1,Image 4,Image 2,Image 3,Image 2,Image 4,Image 3,Image 1,Image 1,Image 4,Image 3,Image 2,Image 2,Image 3,Image 1,Image 4,Image 2,Image 1,Image 3,Image 4,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 2,Image 1,Image 2,Image 4,Image 3,Image 1,Image 1,Image 3,Image 2,Image 4,Image 1,Image 4,Image 3,Image 2,Image 2,Image 3,Image 1,Image 4,Image 3,Image 2,Image 1,Image 4,Image 4,Image 3,Image 1,Image 2,Image 2,Image 3,Image 1,Image 4,Image 4,Image 3,Image 2,Image 1,Image 3,Image 1,Image 2,Image 4,
09/06/2023 19:27:18,I consent,Image 4,Image 1,Image 2,Image 3,Image 3,Image 2,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 4,Image 2,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 1,Image 2,Image 3,Image 4,Image 4,Image 1,Image 3,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 1,Image 2,Image 4,Image 4,Image 3,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 3,Image 4,Image 1,Image 2,Image 4,Image 2,Image 3,Image 1,Sunset 
09/06/2023 20:11:03,I consent,Image 2,Image 1,Image 4,Image 3,Image 4,Image 2,Image 3,Image 1,Image 3,Image 2,Image 1,Image 4,Image 2,Image 1,Image 3,Image 4,Image 3,Image 4,Image 2,Image 1,Image 4,Image 2,Image 3,Image 1,Image 2,Image 4,Image 3,Image 1,Image 2,Image 1,Image 4,Image 3,Image 1,Image 4,Image 3,Image 2,Image 3,Image 1,Image 2,Image 4,Image 2,Image 3,Image 1,Image 4,Image 3,Image 1,Image 2,Image 4,Image 4,Image 1,Image 3,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 1,Image 4,
09/06/2023 20:58:28,I consent,Image 1,Image 2,Image 4,Image 3,Image 1,Image 4,Image 3,Image 2,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 4,Image 1,Image 3,Image 4,Image 2,Image 1,Image 2,Image 1,Image 4,Image 3,Image 2,Image 3,Image 4,Image 1,Image 2,Image 1,Image 3,Image 4,Image 4,Image 1,Image 3,Image 2,Image 2,Image 1,Image 4,Image 3,Image 3,Image 4,Image 2,Image 1,Image 4,Image 1,Image 2,Image 3,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,
09/06/2023 21:00:12,I consent,Image 2,Image 1,Image 4,Image 3,Image 2,Image 1,Image 4,Image 3,Image 1,Image 4,Image 2,Image 3,Image 3,Image 2,Image 1,Image 4,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 2,Image 4,Image 3,Image 1,Image 4,Image 3,Image 2,Image 1,Image 1,Image 2,Image 3,Image 4,Image 3,Image 1,Image 2,Image 4,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 1,Image 4,Image 4,Image 3,Image 2,Image 1,Image 1,Image 2,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 3,Image 2,Image 1,Image 4,good colours 
09/06/2023 21:05:45,I consent,Image 1,Image 4,Image 3,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 3,Image 4,Image 1,Image 1,Image 2,Image 3,Image 4,Image 3,Image 1,Image 4,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 4,Image 2,Image 1,Image 2,Image 1,Image 3,Image 4,Image 1,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,Image 2,Image 4,Image 1,Image 3,Image 2,Image 1,Image 4,Image 3,Image 2,Image 4,Image 3,Image 1,Image 2,Image 2,Image 3,Image 4,Image 1,Image 4,Image 2,Image 1,Image 3,
09/06/2023 21:46:03,I consent,Image 1,Image 4,Image 2,Image 3,Image 2,Image 4,Image 3,Image 1,Image 3,Image 4,Image 1,Image 2,Image 1,Image 3,Image 2,Image 4,Image 2,Image 3,Image 4,Image 1,Image 1,Image 4,Image 2,Image 3,Image 2,Image 3,Image 4,Image 1,Image 1,Image 4,Image 2,Image 3,Image 1,Image 4,Image 3,Image 2,Image 1,Image 4,Image 3,Image 2,Image 4,Image 3,Image 2,Image 1,Image 4,Image 1,Image 3,Image 2,Image 3,Image 1,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 2,Image 3,Image 4,Image 1,Image 4,Image 1,Image 2,Image 3,Når det er skarp og ser mest naturligt ud.
09/06/2023 21:47:04,I consent,Image 1,Image 3,Image 2,Image 4,Image 3,Image 2,Image 4,Image 1,Image 1,Image 3,Image 4,Image 2,Image 2,Image 1,Image 3,Image 4,Image 1,Image 3,Image 2,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 4,Image 3,Image 2,Image 1,Image 1,Image 3,Image 4,Image 2,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 1,Image 4,Image 3,Image 4,Image 2,Image 1,Image 4,Image 3,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 4,Image 3,Image 1,Image 4,Image 1,Image 3,Image 2,"Orange colors, but also when reflections in water appears "
09/06/2023 23:17:30,I consent,Image 1,Image 2,Image 4,Image 3,Image 4,Image 3,Image 2,Image 1,Image 3,Image 1,Image 2,Image 4,Image 4,Image 3,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 3,Image 1,Image 4,Image 2,Image 3,Image 2,Image 1,Image 4,Image 3,Image 2,Image 4,Image 1,Image 3,Image 2,Image 1,Image 4,Image 2,Image 1,Image 3,Image 4,Image 4,Image 3,Image 1,Image 2,Image 3,Image 2,Image 1,Image 4,Image 4,Image 1,Image 2,Image 3,Image 2,Image 3,Image 4,Image 1,Image 4,Image 1,Image 2,Image 3,
09/06/2023 23:38:48,I consent,Image 1,Image 4,Image 2,Image 3,Image 4,Image 2,Image 3,Image 1,Image 3,Image 4,Image 2,Image 1,Image 2,Image 1,Image 4,Image 3,Image 3,Image 4,Image 2,Image 1,Image 3,Image 2,Image 4,Image 1,Image 2,Image 1,Image 4,Image 3,Image 3,Image 2,Image 4,Image 1,Image 1,Image 3,Image 2,Image 4,Image 4,Image 1,Image 3,Image 2,Image 4,Image 2,Image 3,Image 1,Image 3,Image 1,Image 2,Image 4,Image 4,Image 2,Image 3,Image 1,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 4,Image 2,Image 3,Image 1,"The Sunsets are undeniably appealing and hold a special place in my heart. There is a captivating beauty in watching the sun slowly descend below the horizon, painting the sky with an array of warm and vibrant colors. Overall, the appeal of sunsets lies in their ability to awaken my/our senses, inspire contemplation, and remind me of the beauty and transience of life."
09/06/2023 23:41:52,I consent,Image 1,Image 4,Image 2,Image 3,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 1,Image 2,Image 1,Image 4,Image 3,Image 3,Image 2,Image 4,Image 1,Image 1,Image 2,Image 4,Image 3,Image 1,Image 4,Image 2,Image 3,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 2,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 1,Image 4,The colors and the ones with most sunset
09/06/2023 23:58:12,I consent,Image 1,Image 4,Image 2,Image 3,Image 2,Image 4,Image 3,Image 1,Image 3,Image 1,Image 4,Image 2,Image 2,Image 1,Image 4,Image 3,Image 3,Image 4,Image 2,Image 1,Image 4,Image 2,Image 1,Image 3,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 1,Image 1,Image 3,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 4,Image 2,Image 3,Image 1,Image 3,Image 1,Image 2,Image 4,Image 4,Image 2,Image 1,Image 3,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 1,Image 4,Image 2,Image 4,Image 3,Image 1,
10/06/2023 00:16:55,I consent,Image 2,Image 1,Image 3,Image 4,Image 2,Image 4,Image 1,Image 3,Image 4,Image 3,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 1,Image 4,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 1,Image 4,Image 1,Image 3,Image 2,Image 4,Image 1,Image 3,Image 4,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 1,Image 4,Image 2,Image 4,Image 3,Image 2,Image 1,Image 3,Image 2,Image 1,Image 4,Image 2,Image 3,Image 4,Image 1,Image 4,Image 3,Image 2,Image 1,The sun and colours
10/06/2023 00:46:24,I consent,Image 1,Image 3,Image 2,Image 4,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 3,Image 2,Image 4,Image 1,Image 4,Image 2,Image 3,Image 1,Image 1,Image 3,Image 2,Image 4,Image 3,Image 1,Image 2,Image 4,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 1,Image 4,Image 1,Image 3,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 4,Image 3,Image 2,Image 1,
10/06/2023 01:37:57,I consent,Image 3,Image 4,Image 2,Image 1,Image 2,Image 3,Image 4,Image 1,Image 3,Image 1,Image 4,Image 2,Image 2,Image 1,Image 4,Image 3,Image 3,Image 4,Image 2,Image 1,Image 3,Image 2,Image 4,Image 1,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 3,Image 1,Image 1,Image 2,Image 4,Image 3,Image 4,Image 1,Image 3,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 1,Image 2,Image 4,Image 4,Image 3,Image 2,Image 1,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 1,Image 2,Image 3,Image 4,
10/06/2023 01:43:35,I consent,Image 1,Image 2,Image 4,Image 3,Image 4,Image 2,Image 3,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 4,Image 3,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 1,Image 3,Image 2,Image 4,Image 4,Image 1,Image 3,Image 2,Image 2,Image 4,Image 1,Image 3,Image 3,Image 1,Image 2,Image 4,Image 4,Image 2,Image 1,Image 3,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,Image 4,Image 3,Image 2,Image 1,Saturation 
10/06/2023 02:38:12,I consent,Image 1,Image 2,Image 4,Image 3,Image 3,Image 4,Image 1,Image 2,Image 2,Image 4,Image 1,Image 3,Image 2,Image 1,Image 4,Image 3,Image 2,Image 1,Image 4,Image 3,Image 3,Image 4,Image 2,Image 1,Image 1,Image 3,Image 4,Image 2,Image 2,Image 3,Image 1,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 4,Image 3,Image 2,Image 2,Image 3,Image 1,Image 4,Image 3,Image 1,Image 2,Image 4,Image 1,Image 4,Image 3,Image 2,Image 1,Image 3,Image 2,Image 4,Image 2,Image 3,Image 1,Image 4,Image 1,Image 2,Image 3,Image 4,
10/06/2023 03:39:42,I consent,Image 1,Image 4,Image 3,Image 2,Image 2,Image 1,Image 3,Image 4,Image 4,Image 1,Image 2,Image 3,Image 4,Image 2,Image 1,Image 3,Image 3,Image 2,Image 4,Image 1,Image 2,Image 1,Image 3,Image 4,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 1,Image 1,Image 3,Image 2,Image 4,Image 4,Image 1,Image 3,Image 2,Image 4,Image 3,Image 2,Image 1,Image 3,Image 1,Image 2,Image 4,Image 4,Image 2,Image 3,Image 1,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,
10/06/2023 03:49:22,I consent,Image 4,Image 1,Image 2,Image 3,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 4,Image 3,Image 2,Image 1,Image 4,Image 2,Image 1,Image 3,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 1,Image 2,Image 3,Image 4,Image 4,Image 1,Image 3,Image 2,Image 3,Image 2,Image 4,Image 1,Image 2,Image 1,Image 4,Image 3,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 2,Image 4,Image 3,Image 2,Image 1,None
10/06/2023 05:06:31,I consent,Image 1,Image 4,Image 3,Image 2,Image 2,Image 3,Image 4,Image 1,Image 4,Image 3,Image 1,Image 2,Image 2,Image 1,Image 4,Image 3,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 1,Image 3,Image 4,Image 2,Image 1,Image 2,Image 4,Image 3,Image 1,Image 1,Image 3,Image 2,Image 4,Image 1,Image 4,Image 3,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 1,Image 4,Image 2,Image 3,Image 4,Image 1,Image 1,Image 3,Image 4,Image 2,Image 2,Image 3,Image 1,Image 4,Image 1,Image 4,Image 3,Image 2,
10/06/2023 06:28:49,I consent,Image 4,Image 1,Image 2,Image 3,Image 4,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 2,Image 1,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 1,Image 1,Image 3,Image 2,Image 4,Image 4,Image 3,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 1,Image 4,Image 4,Image 3,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,None
10/06/2023 07:25:38,I consent,Image 1,Image 2,Image 4,Image 3,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 1,Image 4,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 1,Image 2,Image 3,Image 4,Image 4,Image 1,Image 2,Image 3,Image 2,Image 1,Image 4,Image 3,Image 3,Image 1,Image 2,Image 4,Image 4,Image 1,Image 3,Image 2,Image 2,Image 3,Image 1,Image 4,Image 2,Image 4,Image 3,Image 1,Image 4,Image 2,Image 1,Image 3,
10/06/2023 07:34:58,I consent,Image 1,Image 4,Image 2,Image 3,Image 1,Image 3,Image 4,Image 2,Image 3,Image 2,Image 4,Image 1,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 4,Image 1,Image 2,Image 1,Image 4,Image 3,Image 2,Image 1,Image 4,Image 3,Image 3,Image 1,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 4,Image 1,Image 2,Image 3,Image 1,Image 3,Image 2,Image 4,Image 3,Image 1,Image 4,Image 2,Image 4,Image 3,Image 1,Image 2,Image 1,Image 2,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 4,Image 3,Image 2,Image 1,
10/06/2023 08:52:55,I consent,Image 1,Image 3,Image 4,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 1,Image 4,Image 2,Image 2,Image 1,Image 3,Image 4,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 1,Image 3,Image 2,Image 4,Image 4,Image 1,Image 3,Image 2,Image 4,Image 2,Image 3,Image 1,Image 3,Image 4,Image 1,Image 2,Image 4,Image 1,Image 3,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 4,Image 1,Image 2,Image 3,
10/06/2023 09:01:37,I consent,Image 1,Image 2,Image 4,Image 3,Image 2,Image 4,Image 3,Image 1,Image 3,Image 1,Image 4,Image 2,Image 1,Image 2,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 1,Image 4,Image 2,Image 4,Image 3,Image 1,Image 2,Image 4,Image 3,Image 1,Image 1,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 2,Image 1,Image 2,Image 4,Image 3,Image 2,Image 3,Image 4,Image 1,Image 4,Image 3,Image 1,Image 2,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 4,Image 1,Image 2,Image 3,N/A
10/06/2023 09:08:50,I consent,Image 2,Image 1,Image 3,Image 4,Image 2,Image 4,Image 3,Image 1,Image 3,Image 1,Image 4,Image 2,Image 1,Image 2,Image 3,Image 4,Image 3,Image 2,Image 4,Image 1,Image 3,Image 1,Image 4,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 1,Image 1,Image 3,Image 4,Image 2,Image 4,Image 1,Image 3,Image 2,Image 2,Image 4,Image 1,Image 3,Image 3,Image 2,Image 1,Image 4,Image 4,Image 1,Image 3,Image 2,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 4,Image 1,Image 1,Image 4,Image 3,Image 2,"I think the pictures, that have most objects in it are the most appealing. Also, the pictures with most color. "
10/06/2023 09:25:38,I consent,Image 1,Image 2,Image 4,Image 3,Image 3,Image 1,Image 4,Image 2,Image 1,Image 4,Image 3,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 3,Image 4,Image 1,Image 2,Image 1,Image 3,Image 4,Image 2,Image 4,Image 2,Image 1,Image 3,Image 1,Image 4,Image 2,Image 3,Image 3,Image 1,Image 2,Image 4,Image 2,Image 3,Image 1,Image 4,Image 3,Image 1,Image 2,Image 4,Image 4,Image 1,Image 3,Image 2,Image 1,Image 3,Image 2,Image 4,Image 3,Image 4,Image 1,Image 2,Image 1,Image 3,Image 2,Image 4,Clearness 
10/06/2023 09:32:58,I consent,Image 2,Image 1,Image 3,Image 4,Image 3,Image 4,Image 1,Image 2,Image 1,Image 3,Image 4,Image 2,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 4,Image 1,Image 2,Image 3,Image 1,Image 4,Image 3,Image 1,Image 4,Image 2,Image 2,Image 4,Image 1,Image 3,Image 2,Image 1,Image 3,Image 4,Image 1,Image 3,Image 2,Image 4,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 4,Image 3,Image 3,Image 1,Image 2,Image 4,Image 3,Image 4,Image 1,Image 2,Image 2,Image 3,Image 1,Image 4,Image 3,Image 4,Image 1,Image 2,"Too many details seems unrealistic because it feels unnatural or a little to fantasy-esc.
Some with too little detail also seem unrealistic because it feels like art made by a lazy artist"
10/06/2023 11:27:58,I consent,Image 1,Image 4,Image 3,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 4,Image 3,Image 1,Image 1,Image 2,Image 4,Image 3,Image 1,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 3,Image 1,Image 2,Image 4,Image 1,Image 4,Image 3,Image 2,Image 4,Image 3,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 1,Image 2,Image 3,Image 4,
